Reporting Period,Project Number,City,County,State,Zip Code,Sector,Latitude ,Longitude
43555,125979,Manheim,Herkimer,NY,13329,Non-Residential,43.10872,-74.733339
43555,164386,Frankfort,Herkimer,NY,13340,Non-Residential,43.050515,-75.115762
43555,165081,Little Falls,Herkimer,NY,13365,Non-Residential,43.060591,-74.847449
43555,4001-23158,Little Falls,Herkimer,NY,13365,Non-Residential,43.060591,-74.847449
43555,4211-36633,West Winfield,Herkimer,NY,13491,Non-Residential,42.865873,-75.177789
43555,4362-64899,Frankfort,Herkimer,NY,13340,Non-Residential,43.050515,-75.115762
43555,4362-64898,Manheim,Herkimer,NY,13329,Non-Residential,43.10872,-74.733339
43555,4439-31598,Middleville,Herkimer,NY,13406,Non-Residential,43.137474,-74.925361
43555,4533-38503,Herkimer,Herkimer,NY,13350,Non-Residential,43.046568,-74.988232
43555,4611-26468,Newport,Herkimer,NY,13416,Non-Residential,43.183538,-74.96782
43555,4611-40897,Newport,Herkimer,NY,13416,Non-Residential,43.183538,-74.96782
43555,71717,Carthage,Jefferson,NY,13619,Non-Residential,43.979234,-75.608418
43555,79562,Clayton,Jefferson,NY,13624,Non-Residential,44.217985,-76.094551
43555,88544,Wellesley Island,Jefferson,NY,13640,Non-Residential,44.321996,-75.991161
43555,90998,Watertown,Jefferson,NY,13601,Non-Residential,43.977155,-75.916148
43555,89852,Watertown,Jefferson,NY,13601,Non-Residential,43.977155,-75.916148
43555,94319,Philadelphia,Jefferson,NY,13673,Non-Residential,44.161636,-75.712864
43555,106863,Redwood,Jefferson,NY,13679,Non-Residential,44.325418,-75.777416
43555,109458,Redwood,Jefferson,NY,13679,Non-Residential,44.325418,-75.777416
43555,115469,Clayton,Jefferson,NY,13624,Non-Residential,44.217985,-76.094551
43555,146858,Watertown,Jefferson,NY,13601,Non-Residential,43.977155,-75.916148
43555,152665,Yorktown Heights,Jefferson,NY,10598,Non-Residential,41.292054,-73.793408
43555,152270,Stamford,Jefferson,NY,12167,Non-Residential,42.417503,-74.594377
43555,151345,Lafargeville,Jefferson,NY,13656,Non-Residential,44.194059,-75.949271
43555,155979,Adams,Jefferson,NY,13605,Non-Residential,43.808485,-76.053889
43555,167482,Clayton,Jefferson,NY,13624,Non-Residential,44.217985,-76.094551
43555,167592,Clayton,Jefferson,NY,13624,Non-Residential,44.217985,-76.094551
43555,167425,Clayton,Jefferson,NY,13624,Non-Residential,44.217985,-76.094551
43555,170384,Clayton,Jefferson,NY,13624,Non-Residential,44.217985,-76.094551
43555,4001-33605,Adams,Jefferson,NY,13605,Non-Residential,43.808485,-76.053889
43555,4260-22967,Clayton,Jefferson,NY,13624,Non-Residential,44.217985,-76.094551
43555,4260-70767,Watertown,Jefferson,NY,13601,Non-Residential,43.977155,-75.916148
43555,4260-27862,Alexandria,Jefferson,NY,13607,Non-Residential,44.317344,-75.929396
43555,4260-19744,Sackets Harbor,Jefferson,NY,13685,Non-Residential,43.936538,-76.100664
43555,4260-35980,Cape Vincent,Jefferson,NY,13618,Non-Residential,44.116337,-76.28933
43555,4260-35959,Cape Vincent,Jefferson,NY,13618,Non-Residential,44.116337,-76.28933
43555,4260-22365,Watertown,Jefferson,NY,13601,Non-Residential,43.977155,-75.916148
43555,4260-42353,Alexandria Bay,Jefferson,NY,13607,Non-Residential,44.317344,-75.929396
43555,4260-32201,Evans Mills,Jefferson,NY,13637,Non-Residential,44.089747,-75.835048
43555,4260-003,Clayton,Jefferson,NY,13624,Non-Residential,44.217985,-76.094551
43555,4260-22366,Dexter,Jefferson,NY,13634,Non-Residential,44.009636,-76.077752
43555,4260-92282,Cape Vincent,Jefferson,NY,13618,Non-Residential,44.116337,-76.28933
43555,4260-19651,Clayton,Jefferson,NY,13624,Non-Residential,44.217985,-76.094551
43555,4247-48391,Adams,Jefferson,NY,13605,Non-Residential,43.808485,-76.053889
43555,4260-22969,Clayton,Jefferson,NY,13624,Non-Residential,44.217985,-76.094551
43555,4260-23309,Clayton,Jefferson,NY,13624,Non-Residential,44.217985,-76.094551
43555,4260-38003,Clayton,Jefferson,NY,13624,Non-Residential,44.217985,-76.094551
43555,4260-32691,Clayton,Jefferson,NY,13624,Non-Residential,44.217985,-76.094551
43555,4260-26178,Cape Vincent,Jefferson,NY,13618,Non-Residential,44.116337,-76.28933
43555,4260-35806,Alexandria,Jefferson,NY,13607,Non-Residential,44.317344,-75.929396
43555,4260-32944,Cape Vincent,Jefferson,NY,13618,Non-Residential,44.116337,-76.28933
43555,4260-19912,West Carthage,Jefferson,NY,13619,Non-Residential,43.979234,-75.608418
43555,4247-23589,Wellesley Island,Jefferson,NY,13640,Non-Residential,44.321996,-75.991161
43555,4260-38711,Evans Mills,Jefferson,NY,13637,Non-Residential,44.089747,-75.835048
43555,4260-68375,Alexandria Bay,Jefferson,NY,13607,Non-Residential,44.317344,-75.929396
43555,4260-27954,Alexandria,Jefferson,NY,13607,Non-Residential,44.317344,-75.929396
43555,4260-19983,Watertown,Jefferson,NY,13601,Non-Residential,43.977155,-75.916148
43555,4260-27827,Cape Vincent,Jefferson,NY,13618,Non-Residential,44.116337,-76.28933
