Reporting Period,Project Number,Legacy Project Number,City,County,State,Zip Code,Sector,Program Type,Solicitation,Electric Utility,Purchase Type,Date Application Received,Date Completed,Project Status,Contractor,Primary Inverter Manufacturer,Primary Inverter Model Number,Total Inverter Quantity,Primary PV Module Manufacturer,PV Module Model Number,Total PV Module Quantity,Project Cost,$Incentive,Total Nameplate kW DC,Expected KWh Annual Production,Remote Net Metering,Affordable Solar,Community Distributed Generation,Green Jobs Green New York Participant,Georeference
44227,101316,,Ogdensburg,St. Lawrence,NY,13669,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,43033,43174,Complete,"Fourth Coast, Inc",SolarEdge Technologies Ltd.,SE9KUS,5,Mitsubishi Electric,PV-MJE275FB-B,220,139150,23150,60.5,70177,,No,No,No,POINT (-75.506864 44.652305)
44227,29286,4697-50101,Chateaugay,Franklin,NY,12920,Non-Residential,Residential/Small Commercial,PON 2112,NYS Electric and Gas,Purchase,41927,42097,Complete,"Paradise Energy Solutions, LLC",SolarEdge Technologies,SE 10000A-US (240V),2,LG Electronics Solar Cell Division,LG280N1C-G3,96,111400,24192,26.88,32373,No,No,No,No,POINT (-74.063438 44.901726)
44227,35284,5121-65713-GJC,Blossvale,Oneida,NY,13308,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,42156,42367,Complete,"Geo of Camden, LLC (Camden Renewable Energy Systems)",SMA America,SB7000TL-US (208V) (208V),6,Hanwha Q-Cells,Q.PRO-G3 265,180,190800,23850,47.7,54931,Yes,No,No,Yes,POINT (-75.67394 43.246264)
44227,257117,,Watertown,Jefferson,NY,13619,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,44054,44153,Complete,"Max Solar, Inc.",SMA America,SB7.7-1TP-US-40 [240V],3,"Jinko Solar Co., Ltd",JKM400M-72HL-V,72,62986.45,12960,28.8,30101,,No,No,No,POINT (-75.608418 43.979234)
44227,100669,,Johnstown,Fulton,NY,12095,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,43054,43118,Complete,"Lotus Energy, Inc.",SMA America,SB7.7-1SP-US-40 (240V),3,SunPower,SPR-E20-327-COM,76,109919,9941,24.85,37040,,No,No,No,POINT (-74.394891 43.023495)
44227,22136,4507-23159A,Argyle,Washington,NY,12809,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,,40711,41011,Complete,Hudson Valley Clean Energy dba Adirondack Solar,SMA America,SB6000US (240V),2,Schuco USA,MPE 185 MS 05,66,70729,21367.5,12.21,13042,,No,No,No,POINT (-73.459071 43.238387)
44227,26648,4301-43315,Saratoga Springs,Saratoga,NY,12866,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,41814,41904,Complete,"Positive Energy NY, LLC",Fronius USA,IG Plus 10.0-240,1,SolarWorld,SW 275 Mono,39,44515,10725,10.73,11030,No,No,No,No,POINT (-73.759248 43.07772)
44227,12327,4362-30945,Stillwater,Saratoga,NY,12170,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Power Purchase Agreement,41292,41696,Complete,"Monolith Solar Associates, LLC",Fronius USA,IG Plus V 10.0-240,1,Trina Solar,TSM-285PA14,33,46837,14108,9.41,11179,,No,No,No,POINT (-73.661774 42.995635)
44227,31144,5226-55691,Warrensburg,Warren,NY,12885,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Power Purchase Agreement,41997,42346,Complete,"Edge Design & Consulting, Inc.",SMA America,STP24000TL-US-10 (480V),1,SolarWorld,SW250 Poly,112,177702,12880,28,31287,No,No,No,No,POINT (-73.816906 43.539538)
44227,80474,,Boonville,Oneida,NY,13309,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,42782,43153,Complete,"Fourth Coast, Inc",Fronius USA,Fronius Primo 12.5-1 (240V),4,Mitsubishi Electric,PV-MLE265HD,188,173052,19928,49.82,49060,,No,No,No,POINT (-75.339596 43.478376)
44227,34990,4281-64958-GJC,Rensselaer Falls,St. Lawrence,NY,13680,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,42143,42585,Complete,Northern Lights Energy,SolarEdge Technologies,SE 10000A-US (240V),2,SolarWorld,SW 300 Mono,67,61850,11970,20.1,21473,No,No,No,Yes,POINT (-75.340566 44.580722)
44227,3145,4630-32282,Fulton,Oswego,NY,13069,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,41390,41472,Complete,Skyline Solar Inc.,Enphase Energy,M215-60-2LL-S2X,48,SolarWorld,SW255 Mono,48,48822,17136,12.24,13279,,No,No,No,POINT (-76.390481 43.324957)
44227,94319,,Philadelphia,Jefferson,NY,13673,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,42976,43229,Complete,"Paradise Energy Solutions, LLC",SolarEdge Technologies,SE10000A-US (240V),3,AXITEC,AC-280M/156-60S,138,99700,15456,38.64,40024,,No,No,No,POINT (-75.712864 44.161636)
44227,32425,5122-58929,Clifton Park,Saratoga,NY,12065,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,42046,42171,Complete,Kasselman Solar LLC,Enphase Energy,M250-60-2LL-S2X (-ZC) (-NA) (240V),87,LG Electronics Solar Cell Division,LG280S1C-B3,87,80364,17052,24.36,28944,No,No,No,No,POINT (-73.783424 42.852843)
44227,49859,4572-34040,Ballston Spa,Saratoga,NY,12020,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,41477,41583,Complete,"Allura Solar (dba for Epergy, LLC)",SunPower,SPR-6000m (240V),2,SunPower,SPR-X21-345,40,59590,19320,13.8,16364,No,No,No,No,POINT (-73.854217 43.004269)
44227,21258,4758-55717,Greenwich,Washington,NY,12834,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,41999,42286,Complete,Hudson Solar,SMA America,SB6000TL-US-22 (240V) (240V),4,LG Electronics Solar Cell Division,LG280S1C-B3,96,99187,18816,26.88,27882,No,No,No,No,POINT (-73.500001 43.097845)
44227,33339,5122-62028,Clifton Park,Saratoga,NY,12065,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,42102,42355,Complete,Kasselman Solar LLC,Enphase Energy,M250-60-2LL-S2X (-ZC) (-NA) (240V),68,SolarWorld,SW 275 Mono Black,68,71000,13090,18.7,22189,No,No,No,No,POINT (-73.783424 42.852843)
44227,72237,,Town of St Armand,Essex,NY,12913,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,42672,42726,Complete,"Cogan Group, Inc.",Fronius USA,Fronius Primo 12.5-1 240Vac,3,SolarWorld,SW 295 Mono,148,154700,17464,43.66,54183,,No,No,No,POINT (-74.016083 44.417908)
44227,33174,4362-60546,Canaan,Washington,NY,12029,Non-Residential,Residential/Small Commercial,PON 2112,NYS Electric and Gas,Power Purchase Agreement,42074,42993,Complete,"Monolith Solar Associates, LLC",SolarEdge Technologies,SE11400A-US (277V),3,Trina Solar,TSM-340DD14A(II),120,117600,23058,40.8,43242,,No,No,No,POINT (-73.426667 42.399533)
44227,26888,4011-43668,MALONE,Franklin,NY,12953,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,41821,41915,Complete,Triangle Electrical Systems,SMA America,SB9000TL-US (240V) (240V),1,Q-Cells,Q.PRO BFR - G3 255,36,31485,9000,9.18,11294,No,No,No,No,POINT (-74.270547 44.785967)
